"YEAR","AGE","SPECIES_CODE","SURVEY_DEFINITION_ID"
1980,1,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
1980,2,21740,52
